Component,Section,Field,English Text,Turkish Text,AYŞEN SUGGESTIONS
Testimonials,Testimonial 1,Quote,"I came to TheLifeCo Bodrum for one week, hoping for a change. By the end, my blood sugar levels were back in the normal range, and I'd lost 4 kilos. The program meals were incredible; fresh, filling salads that kept me satisfied all day. Next week, I'll have my online consultation with my dietitian here to keep the progress going. This has truly been life-changing.","I came to TheLifeCo Bodrum for one week, hoping for a change. By the end, my blood sugar levels were back in the normal range, and I'd lost 4 kilos. The program meals were incredible; fresh, filling salads that kept me satisfied all day. Next week, I'll have my online consultation with my dietitian here to keep the progress going. This has truly been life-changing.","TheLifeCo Bodrum’a bir haftalık bir değişim umuduyla geldim. Haftanın sonunda kan şekerim normal aralığa döndü ve 4 kilo verdim. Program yemekleri inanılmazdı; taze, doyurucu salatalar gün boyu tok kalmamı sağladı. Önümüzdeki hafta diyetisyenimle online görüşmem var, böylece ilerlemeyi sürdüreceğim. Gerçekten hayatımı değiştirdi."
,,,,,
,,,,,
Testimonials,Testimonial 2,Quote,"I would like to express my heartfelt gratitude to all of you, especially your incredible staff, for giving me the opportunity to transform my life. My stay at LifeCo Bodrum felt like a once-in-a-lifetime experience, but looking back, I am certain it has already become a lifelong habit—and, above all, a beautiful friendship. It has been a long time since I last felt this surge of energy radiating from my core.","I would like to express my heartfelt gratitude to all of you, especially your incredible staff, for giving me the opportunity to transform my life. My stay at LifeCo Bodrum felt like a once-in-a-lifetime experience, but looking back, I am certain it has already become a lifelong habit—and, above all, a beautiful friendship. It has been a long time since I last felt this surge of energy radiating from my core.","Hayatımı dönüştürme fırsatını sunduğunuz için, özellikle muhteşem ekibinize en içten teşekkürlerimi sunmak isterim. LifeCo Bodrum’daki konaklamam bir defaya mahsus bir deneyim gibi hissettirdi; ancak geriye dönüp baktığımda bunun çoktan ömür boyu sürecek bir alışkanlığa ve her şeyden önemlisi güzel bir dostluğa dönüştüğünden eminim. Uzun zamandır ilk kez, merkezimden yayılan bu enerji artışını hissettim."
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
VideoTestimonial,Quote,Text,"It really taught me so much about myself. I felt that I was doing it in a very safe environment — with a nutritionist following up with you, with people who knew what they were doing, in a very medical setting, and with programs that are suitable to help you detox.","It really taught me so much about myself. I felt that I was doing it in a very safe environment — with a nutritionist following up with you, with people who knew what they were doing, in a very medical setting, and with programs that are suitable to help you detox.","Kendimle ilgili çok şey öğrenmemi sağladı. Son derece güvenli bir ortamdaydım — sizi takip eden bir beslenme uzmanı, ne yaptığını bilen bir ekip, oldukça tıbbi bir çerçeve ve detoksa yardımcı, size uygun programlarla."
Endorsements,Section Title,Heading,Trusted by Experts Worldwide,Dünya Çapında Uzmanlar Tarafından Güvenilen,Dünya Çapında Uzmanların Güvendiği  Yaklaşım
Endorsements,Section Description,Text,"Medical professionals, wellness leaders, and international media recognize our commitment to excellence","Tıp profesyonelleri, wellness liderleri ve uluslararası medya mükemmelliğe bağlılığımızı tanır","Tıp profesyonelleri, wellness liderleri ve uluslararası medya mükemmeliyet taahhüdümüzü kabul ediyor."
,,,,,
Endorsements,Endorsement 1,Description,"Dr. Elena Rodriguez, MD - Integrative Medicine","Dr. Elena Rodriguez, MD - Bütünleştirici Tıp","Dr. Elena Rodriguez, MD — Bütüncül Tıp"
Endorsements,Endorsement 1,Quote,TheLifeCo's approach represents the gold standard in medically-supervised wellness programs. Their commitment to evidence-based practices while honoring holistic healing sets them apart.,"TheLifeCo'nun yaklaşımı, tıbbi gözetimli wellness programlarında altın standardı temsil eder. Bütünsel iyileşmeyi onurlandırırken kanıta dayalı uygulamalara bağlılıkları onları farklı kılar.","TheLifeCo’nun yaklaşımı, tıbbi gözetim altındaki wellness programlarında altın standarttır. Kanıta dayalı uygulamalara bağlı kalırken bütüncül iyileşmeyi onurlandırmaları onları ayrıştırıyor."
,,,,,
,,,,,
,,,,,
Endorsements,Endorsement 3,Title,International Recognition,Uluslararası Tanınma,Uluslararası Tanınırlık
Endorsements,Endorsement 3,Description,"Featured in: Vogue, Forbes Wellness, The Guardian","Yer aldığı yerler: Vogue, Forbes Wellness, The Guardian","Vogue, Forbes Wellness, The Guardian’da yer aldı"
Endorsements,Endorsement 3,Quote,TheLifeCo has been recognized globally for pioneering a new standard in wellness tourism and sustainable weight management programs.,"TheLifeCo, wellness turizmi ve sürdürülebilir kilo yönetimi programlarında yeni bir standart öncülük ettiği için küresel olarak tanınmıştır.","TheLifeCo, wellness turizmi ve sürdürülebilir kilo yönetimi programlarında yeni bir standart oluşturmasıyla dünya çapında tanınmaktadır."
,,,,,
,,,,,
Endorsements,Endorsement 4,Quote,"94% of guests maintain their weight loss results 6 months post-program, significantly exceeding industry averages of 5-20%.","Misafirlerin %94'ü program sonrası 6 ayda kilo kaybı sonuçlarını korur, bu sektör ortalaması olan %5-20'yi önemli ölçüde aşar.","Misafirlerin %94’ü, programdan 6 ay sonra kilo kaybı sonuçlarını korumaktadır — bu oran, sektör ortalaması olan %5–20’nin çok üzerindedir."
,,,,,
Endorsements,Stat 1,Label,Years of Experience,Yıllık Deneyim,Yılların Deneyimi (+20)
Endorsements,Stat 2,Label,Lives Transformed,Dönüştürülen Hayat,Dönüşen Hayatlar
Endorsements,Stat 3,Label,World-Class Locations,Dünya Standartlarında Konum,Dünya Çapında Lokasyonlar
,,,,,
,,,,,
FAQ,Question 1,Question,How quickly will I see results?,Ne kadar hızlı sonuç göreceğim?,Sonuçları ne kadar sürede görürüm?
,,,,,
,,,,,
FAQ,Question 2,Answer,"Yes, absolutely. All our programs are developed and overseen by licensed medical professionals including physicians, nutritionists, and wellness specialists. You'll receive a comprehensive health assessment at the start of your program, and medical staff are available throughout your stay.","Evet, kesinlikle. Tüm programlarımız doktorlar, beslenme uzmanları ve wellness uzmanları dahil olmak üzere lisanslı tıp profesyonelleri tarafından geliştirilir ve gözetilir. Programınızın başında kapsamlı bir sağlık değerlendirmesi alacaksınız ve tıbbi personel konaklamanız boyunca mevcuttur.","Evet, kesinlikle. Tüm programlarımız lisanslı hekimler, hemşireler, beslenme uzmanları ve wellness uzmanları tarafından geliştirilir ve denetlenir. Program başında kapsamlı bir sağlık değerlendirmesi yapılır ve konaklamanız boyunca tıbbi ekip hazır bulunur."
,,,,,
FAQ,Question 3,Answer,"Unlike quick-fix cleanses, our programs combine medical supervision, personalized nutrition plans, holistic wellness practices, and ongoing support. We focus on sustainable lifestyle changes, not temporary results. Our 94% success rate for maintaining weight loss after 6 months speaks to this approach.","Hızlı çözüm temizliklerinden farklı olarak, programlarımız tıbbi gözetim, kişiselleştirilmiş beslenme planları, bütünsel wellness uygulamaları ve sürekli desteği birleştirir. Geçici sonuçlara değil, sürdürülebilir yaşam tarzı değişikliklerine odaklanıyoruz. 6 ay sonra kilo kaybını koruma konusundaki %94 başarı oranımız bu yaklaşımı gösterir.","Hızlı çözümler sunan kürlerin aksine; programlarımız tıbbi gözetimi, kişiye özel beslenme planlarını, bütüncül wellness uygulamalarını ve sürekli desteği bir araya getirir. Geçici sonuçlara değil, sürdürülebilir yaşam tarzı değişikliklerine odaklanırız. 6 ay sonra kilo kaybını koruma oranımızın %94 olması bunun göstergesidir."
,,,,,
FAQ,Question 4,Answer,"No. Our programs are designed to nourish your body with nutrient-dense foods that satisfy you. You'll enjoy delicious, chef-prepared meals throughout the day. Many guests are surprised by how satisfying and gourmet the food is—detox doesn't mean deprivation at TheLifeCo.","Hayır. Programlarımız sizi doyuran besin açısından zengin gıdalarla vücudunuzu beslemek için tasarlanmıştır. Gün boyunca lezzetli, şef hazırlığı yemeklerin tadını çıkaracaksınız. Birçok misafir yemeğin ne kadar doyurucu ve lüks olduğuna şaşırır — TheLifeCo'da detoks yoksunluk anlamına gelmez.","Hayır. Programlarımız, sizi doyuran besin değeri yüksek gıdalarla bedeni beslemek üzere tasarlanmıştır. Gün boyunca lezzetli, şeflerimiz tarafından hazırlanan öğünler sunulur. Pek çok misafir, yemeğin ne kadar doyurucu ve lezzetli olduğuna şaşırır. TheLifeCo'da detoks yoksunluk anlamına gelmez. "
,,,,,
FAQ,Question 5,Answer,"We offer programs ranging from 7 to 21 days, depending on your goals and schedule. Our wellness consultants can help you choose the ideal program length during your consultation. Many guests start with a 7-14 day program and return for additional sessions.",Hedeflerinize ve programınıza bağlı olarak 7 ila 21 gün arasında programlar sunuyoruz. Wellness danışmanlarımız konsültasyonunuz sırasında ideal program uzunluğunu seçmenize yardımcı olabilir. Birçok misafir 7-14 günlük bir programla başlar ve ek seanslar için geri döner.,"Hedeflerinize ve zamanınıza bağlı olarak 7 ila 21 gün arasında programlar sunuyoruz. Wellness danışmanlarımız, görüşmeniz sırasında sizin için ideal süreyi belirlemenize yardımcı olur. Birçok misafir 7–14 günle başlar ve ek programlar için geri döner. (4 günden başlar diyor muyuz??)"
,,,,,
,,,,,
FAQ,Question 7,Question,Is the program suitable for people with medical conditions?,Program tıbbi durumları olan kişiler için uygun mu?,Program tıbbi rahatsızlıkları olanlar için uygun mu?
,,,,,
FAQ,Question 8,Question,What's included in the program cost?,Program maliyetine neler dahil?,Program ücretine neler dahil?
FAQ,Question 8,Answer,"Your program includes: medical consultations and monitoring, all meals and detox supplements, accommodation (for residential programs), wellness activities (yoga, meditation, fitness classes), spa treatments, educational workshops, and post-program support materials.","Programınız şunları içerir: tıbbi konsültasyonlar ve izleme, tüm yemekler ve detoks takviyeleri, konaklama (konaklamalı programlar için), wellness aktiviteleri (yoga, meditasyon, fitness sınıfları), spa tedavileri, eğitici atölyeler ve program sonrası destek materyalleri.","Tıbbi konsültasyonlar ve takip, tüm yemekler ve detoks takviyeleri, konaklama (konaklamalı programlarda), wellness aktiviteleri (yoga, meditasyon, fitness), spa uygulamaları, eğitici atölyeler ve program sonrası destek materyalleri dahildir."
,,,,,
,,,,,
,,,,,
FAQ,Still Have Questions,Text,Our wellness consultants are here to help you find the perfect program for your needs,Wellness danışmanlarımız ihtiyaçlarınıza uygun mükemmel programı bulmanıza yardımcı olmak için burada,"Wellness danışmanlarımız, ihtiyaçlarınıza en uygun programı bulmanıza yardımcı olmak için burada."
