Component,Section,Field,English Text,Turkish Text,Translator Notes
VideoTestimonial,Section Title,Heading,"Testimonial: Real experiences from those who visited Bodrum","Testimonial: Real experiences from those who visited Bodrum",
VideoTestimonial,Person Name,Name,"Lebanese Actress","Lebanese Actress",
VideoTestimonial,Person Location,Location,"Visited Bodrum in 2024","Visited Bodrum in 2024",
VideoTestimonial,Quote,Text,"It really taught me so much about myself. I felt that I was doing it in a very safe environment — with a nutritionist following up with you, with people who knew what they were doing, in a very medical setting, and with programs that are suitable to help you detox.","It really taught me so much about myself. I felt that I was doing it in a very safe environment — with a nutritionist following up with you, with people who knew what they were doing, in a very medical setting, and with programs that are suitable to help you detox.",
Endorsements,Section Title,Heading,"Trusted by Experts Worldwide","Dünya Çapında Uzmanlar Tarafından Güvenilen",
Endorsements,Section Description,Text,"Medical professionals, wellness leaders, and international media recognize our commitment to excellence","Tıp profesyonelleri, wellness liderleri ve uluslararası medya mükemmelliğe bağlılığımızı tanır",
Endorsements,Endorsement 1,Title,"Medical Advisory Board","Tıbbi Danışma Kurulu",
Endorsements,Endorsement 1,Description,"Dr. Elena Rodriguez, MD - Integrative Medicine","Dr. Elena Rodriguez, MD - Bütünleştirici Tıp",
Endorsements,Endorsement 1,Quote,"TheLifeCo's approach represents the gold standard in medically-supervised wellness programs. Their commitment to evidence-based practices while honoring holistic healing sets them apart.","TheLifeCo'nun yaklaşımı, tıbbi gözetimli wellness programlarında altın standardı temsil eder. Bütünsel iyileşmeyi onurlandırırken kanıta dayalı uygulamalara bağlılıkları onları farklı kılar.",
Endorsements,Endorsement 2,Title,"Wellness Community Leader","Wellness Topluluğu Lideri",
Endorsements,Endorsement 2,Description,"James Chen - Certified Nutritionist & Author","James Chen - Sertifikalı Beslenme Uzmanı ve Yazar",
Endorsements,Endorsement 2,Quote,"I've referred dozens of clients to TheLifeCo, and every single one has come back transformed. Their programs deliver on the promise of sustainable, lasting change.","Düzinelerce müşteriyi TheLifeCo'ya yönlendirdim ve her biri dönüşmüş olarak geri döndü. Programları sürdürülebilir, kalıcı değişim vaadini yerine getiriyor.",
Endorsements,Endorsement 3,Title,"International Recognition","Uluslararası Tanınma",
Endorsements,Endorsement 3,Description,"Featured in: Vogue, Forbes Wellness, The Guardian","Yer aldığı yerler: Vogue, Forbes Wellness, The Guardian",
Endorsements,Endorsement 3,Quote,"TheLifeCo has been recognized globally for pioneering a new standard in wellness tourism and sustainable weight management programs.","TheLifeCo, wellness turizmi ve sürdürülebilir kilo yönetimi programlarında yeni bir standart öncülük ettiği için küresel olarak tanınmıştır.",
Endorsements,Endorsement 4,Title,"Guest Success Rate","Misafir Başarı Oranı",
Endorsements,Endorsement 4,Description,"Verified by Independent Health Assessments","Bağımsız Sağlık Değerlendirmeleri ile Doğrulandı",
Endorsements,Endorsement 4,Quote,"94% of guests maintain their weight loss results 6 months post-program, significantly exceeding industry averages of 5-20%.","Misafirlerin %94'ü program sonrası 6 ayda kilo kaybı sonuçlarını korur, bu sektör ortalaması olan %5-20'yi önemli ölçüde aşar.",
Endorsements,Stats Title,Heading,"Industry-Leading Standards","Sektör Lideri Standartlar",
Endorsements,Stat 1,Label,"Years of Experience","Yıllık Deneyim",
Endorsements,Stat 2,Label,"Lives Transformed","Dönüştürülen Hayat",
Endorsements,Stat 3,Label,"World-Class Locations","Dünya Standartlarında Konum",
FAQ,Section Title,Heading,"Frequently Asked Questions","Sıkça Sorulan Sorular",
FAQ,Section Description,Text,"Everything you need to know about TheLifeCo detox programs","TheLifeCo detoks programları hakkında bilmeniz gereken her şey",
FAQ,Question 1,Question,"How quickly will I see results?","Ne kadar hızlı sonuç göreceğim?",
FAQ,Question 1,Answer,"Most guests report feeling more energized and noticing positive changes within 3-5 days. Visible weight loss typically begins within the first week. However, the most significant benefit is the lasting lifestyle changes that continue to deliver results long after your program ends.","Çoğu misafir 3-5 gün içinde daha enerjik hissettiğini ve olumlu değişiklikler fark ettiğini bildirir. Görünür kilo kaybı genellikle ilk hafta içinde başlar. Ancak, en önemli fayda, programınız bittikten çok sonra bile sonuç vermeye devam eden kalıcı yaşam tarzı değişiklikleridir.",
FAQ,Question 2,Question,"Is the program medically supervised?","Program tıbbi gözetim altında mı?",
FAQ,Question 2,Answer,"Yes, absolutely. All our programs are developed and overseen by licensed medical professionals including physicians, nutritionists, and wellness specialists. You'll receive a comprehensive health assessment at the start of your program, and medical staff are available throughout your stay.","Evet, kesinlikle. Tüm programlarımız doktorlar, beslenme uzmanları ve wellness uzmanları dahil olmak üzere lisanslı tıp profesyonelleri tarafından geliştirilir ve gözetilir. Programınızın başında kapsamlı bir sağlık değerlendirmesi alacaksınız ve tıbbi personel konaklamanız boyunca mevcuttur.",
FAQ,Question 3,Question,"What makes TheLifeCo different from other detox programs?","TheLifeCo'yu diğer detoks programlarından farklı kılan nedir?",
FAQ,Question 3,Answer,"Unlike quick-fix cleanses, our programs combine medical supervision, personalized nutrition plans, holistic wellness practices, and ongoing support. We focus on sustainable lifestyle changes, not temporary results. Our 94% success rate for maintaining weight loss after 6 months speaks to this approach.","Hızlı çözüm temizliklerinden farklı olarak, programlarımız tıbbi gözetim, kişiselleştirilmiş beslenme planları, bütünsel wellness uygulamaları ve sürekli desteği birleştirir. Geçici sonuçlara değil, sürdürülebilir yaşam tarzı değişikliklerine odaklanıyoruz. 6 ay sonra kilo kaybını koruma konusundaki %94 başarı oranımız bu yaklaşımı gösterir.",
FAQ,Question 4,Question,"Will I be hungry during the program?","Program sırasında aç kalacak mıyım?",
FAQ,Question 4,Answer,"No. Our programs are designed to nourish your body with nutrient-dense foods that satisfy you. You'll enjoy delicious, chef-prepared meals throughout the day. Many guests are surprised by how satisfying and gourmet the food is—detox doesn't mean deprivation at TheLifeCo.","Hayır. Programlarımız sizi doyuran besin açısından zengin gıdalarla vücudunuzu beslemek için tasarlanmıştır. Gün boyunca lezzetli, şef hazırlığı yemeklerin tadını çıkaracaksınız. Birçok misafir yemeğin ne kadar doyurucu ve lüks olduğuna şaşırır — TheLifeCo'da detoks yoksunluk anlamına gelmez.",
FAQ,Question 5,Question,"How long are the programs?","Programlar ne kadar sürer?",
FAQ,Question 5,Answer,"We offer programs ranging from 7 to 21 days, depending on your goals and schedule. Our wellness consultants can help you choose the ideal program length during your consultation. Many guests start with a 7-14 day program and return for additional sessions.","Hedeflerinize ve programınıza bağlı olarak 7 ila 21 gün arasında programlar sunuyoruz. Wellness danışmanlarımız konsültasyonunuz sırasında ideal program uzunluğunu seçmenize yardımcı olabilir. Birçok misafir 7-14 günlük bir programla başlar ve ek seanslar için geri döner.",
FAQ,Question 6,Question,"Can I maintain the results after I leave?","Ayrıldıktan sonra sonuçları koruyabilir miyim?",
FAQ,Question 6,Answer,"Yes! Sustainability is at the core of our approach. You'll leave with personalized meal plans, lifestyle strategies, and ongoing support resources. Our graduates maintain their results at a rate of 94% after six months, compared to the industry average of 5-20%.","Evet! Sürdürülebilirlik yaklaşımımızın temelidir. Kişiselleştirilmiş yemek planları, yaşam tarzı stratejileri ve sürekli destek kaynaklarıyla ayrılırsınız. Mezunlarımız sonuçlarını altı ay sonra %94 oranında korur, bu da sektör ortalaması olan %5-20 ile karşılaştırıldığında çok yüksektir.",
FAQ,Question 7,Question,"Is the program suitable for people with medical conditions?","Program tıbbi durumları olan kişiler için uygun mu?",
FAQ,Question 7,Answer,"Our programs can be adapted for most health conditions, including diabetes, hypertension, and digestive issues. During your initial consultation, our medical team will review your health history and customize your program accordingly. We recommend consulting with your personal physician before starting any wellness program.","Programlarımız diyabet, hipertansiyon ve sindirim sorunları dahil olmak üzere çoğu sağlık durumu için uyarlanabilir. İlk konsültasyonunuz sırasında tıbbi ekibimiz sağlık geçmişinizi gözden geçirecek ve programınızı buna göre özelleştirecektir. Herhangi bir wellness programına başlamadan önce kişisel doktorunuzla görüşmenizi öneririz.",
FAQ,Question 8,Question,"What's included in the program cost?","Program maliyetine neler dahil?",
FAQ,Question 8,Answer,"Your program includes: medical consultations and monitoring, all meals and detox supplements, accommodation (for residential programs), wellness activities (yoga, meditation, fitness classes), spa treatments, educational workshops, and post-program support materials.","Programınız şunları içerir: tıbbi konsültasyonlar ve izleme, tüm yemekler ve detoks takviyeleri, konaklama (konaklamalı programlar için), wellness aktiviteleri (yoga, meditasyon, fitness sınıfları), spa tedavileri, eğitici atölyeler ve program sonrası destek materyalleri.",
FAQ,Question 9,Question,"Do you offer virtual/remote programs?","Sanal/uzaktan programlar sunuyor musunuz?",
FAQ,Question 9,Answer,"Yes! We offer both residential programs at our wellness centers and virtual programs that you can complete from home. Virtual programs include video consultations, meal plans and recipes, supplement protocols, guided wellness practices, and daily support from our team.","Evet! Wellness merkezlerimizde konaklamalı programlar ve evinizden tamamlayabileceğiniz sanal programlar sunuyoruz. Sanal programlar video konsültasyonlar, yemek planları ve tarifler, takviye protokolleri, rehberli wellness uygulamaları ve ekibimizden günlük destek içerir.",
FAQ,Still Have Questions,Title,"Still have questions?","Hala sorularınız mı var?",
FAQ,Still Have Questions,Text,"Our wellness consultants are here to help you find the perfect program for your needs","Wellness danışmanlarımız ihtiyaçlarınıza uygun mükemmel programı bulmanıza yardımcı olmak için burada",
FAQ,Still Have Questions,Button,"Schedule a Free Consultation","Ücretsiz Konsültasyon Planla",
Footer,Copyright,Text,"© 2026 TheLifeCo. All rights reserved.","© 2026 TheLifeCo. Tüm hakları saklıdır.",
Footer,Privacy Link,Text,"Privacy Policy","Gizlilik Politikası",

