Component,Section,Field,English Text,Arabic Text,Translator Notes
VideoTestimonial,Person Name,Name,"Lebanese Actress","ممثلة لبنانية",
VideoTestimonial,Person Location,Location,"Visited Bodrum in 2024","زارت بودروم في 2024",
VideoTestimonial,Quote,Text,"It really taught me so much about myself. I felt that I was doing it in a very safe environment — with a nutritionist following up with you, with people who knew what they were doing, in a very medical setting, and with programs that are suitable to help you detox.","لقد علمني هذا حقًا الكثير عن نفسي. شعرت أنني كنت أفعل ذلك في بيئة آمنة جدًا — مع أخصائي تغذية يتابعك، مع أشخاص يعرفون ما يفعلونه، في إعداد طبي جدًا، ومع برامج مناسبة لمساعدتك على إزالة السموم.",
Endorsements,Section Title,Heading,"Trusted by Experts Worldwide","موثوق به من قبل الخبراء في جميع أنحاء العالم",
Endorsements,Section Description,Text,"Medical professionals, wellness leaders, and international media recognize our commitment to excellence","يعترف المهنيون الطبيون وقادة الرفاهية والوسائط الدولية بتزامنا مع التميز",
Endorsements,Endorsement 1,Title,"Medical Advisory Board","المجلس الاستشاري الطبي",
Endorsements,Endorsement 1,Description,"Dr. Elena Rodriguez, MD - Integrative Medicine","الدكتورة إيلينا رودريغيز، دكتوراه في الطب - الطب التكاملي",
Endorsements,Endorsement 1,Quote,"TheLifeCo's approach represents the gold standard in medically-supervised wellness programs. Their commitment to evidence-based practices while honoring holistic healing sets them apart.","يمثل نهج TheLifeCo المعيار الذهبي في برامج الرفاهية الخاضعة للإشراف الطبي. التزامهم بالممارسات القائمة على الأدلة مع احترام الشفاء الشامل يميزهم.",
Endorsements,Endorsement 2,Title,"Wellness Community Leader","قائد مجتمع الرفاهية",
Endorsements,Endorsement 2,Description,"James Chen - Certified Nutritionist & Author","جيمس تشين - أخصائي تغذية معتمد ومؤلف",
Endorsements,Endorsement 2,Quote,"I've referred dozens of clients to TheLifeCo, and every single one has come back transformed. Their programs deliver on the promise of sustainable, lasting change.","أحلت العشرات من العملاء إلى TheLifeCo، وكل واحد منهم عاد محولًا. برامجهم تفي بوعد التغيير المستدام والدائم.",
Endorsements,Endorsement 3,Title,"International Recognition","الاعتراف الدولي",
Endorsements,Endorsement 3,Description,"Featured in: Vogue, Forbes Wellness, The Guardian","ظهر في: Vogue، Forbes Wellness، The Guardian",
Endorsements,Endorsement 3,Quote,"TheLifeCo has been recognized globally for pioneering a new standard in wellness tourism and sustainable weight management programs.","تم الاعتراف بـ TheLifeCo عالميًا لريادته معيارًا جديدًا في سياحة الرفاهية وبرامج إدارة الوزن المستدامة.",
Endorsements,Endorsement 4,Title,"Guest Success Rate","معدل نجاح الضيوف",
Endorsements,Endorsement 4,Description,"Verified by Independent Health Assessments","تم التحقق من خلال تقييمات صحية مستقلة",
Endorsements,Endorsement 4,Quote,"94% of guests maintain their weight loss results 6 months post-program, significantly exceeding industry averages of 5-20%.","94% من الضيوف يحافظون على نتائج فقدان الوزن بعد 6 أشهر من البرنامج، مما يتجاوز بشكل كبير المتوسطات الصناعية البالغة 5-20%.",
Endorsements,Stats Title,Heading,"Industry-Leading Standards","معايير رائدة في الصناعة",
Endorsements,Stat 1,Label,"Years of Experience","سنوات من الخبرة",
Endorsements,Stat 2,Label,"Lives Transformed","حياة محولة",
Endorsements,Stat 3,Label,"World-Class Locations","مواقع عالمية المستوى",
FAQ,Section Title,Heading,"Frequently Asked Questions","الأسئلة الشائعة",
FAQ,Section Description,Text,"Everything you need to know about TheLifeCo detox programs","كل ما تحتاج معرفته عن برامج إزالة السموم TheLifeCo",
FAQ,Question 1,Question,"How quickly will I see results?","ما مدى سرعة رؤية النتائج؟",
FAQ,Question 1,Answer,"Most guests report feeling more energized and noticing positive changes within 3-5 days. Visible weight loss typically begins within the first week. However, the most significant benefit is the lasting lifestyle changes that continue to deliver results long after your program ends.","يبلغ معظم الضيوف عن شعورهم بمزيد من الطاقة وملاحظة تغييرات إيجابية في غضون 3-5 أيام. عادة ما يبدأ فقدان الوزن المرئي في الأسبوع الأول. ومع ذلك، فإن الفائدة الأكثر أهمية هي تغييرات نمط الحياة الدائمة التي تستمر في تقديم النتائج لفترة طويلة بعد انتهاء برنامجك.",
FAQ,Question 2,Question,"Is the program medically supervised?","هل البرنامج خاضع للإشراف الطبي؟",
FAQ,Question 2,Answer,"Yes, absolutely. All our programs are developed and overseen by licensed medical professionals including physicians, nutritionists, and wellness specialists. You'll receive a comprehensive health assessment at the start of your program, and medical staff are available throughout your stay.","نعم، بالتأكيد. يتم تطوير جميع برامجنا والإشراف عليها من قبل المهنيين الطبيين المرخصين بما في ذلك الأطباء وأخصائيي التغذية وأخصائيي الرفاهية. ستحصل على تقييم صحي شامل في بداية برنامجك، والموظفون الطبيون متاحون طوال إقامتك.",
FAQ,Question 3,Question,"What makes TheLifeCo different from other detox programs?","ما الذي يجعل TheLifeCo مختلفًا عن برامج إزالة السموم الأخرى؟",
FAQ,Question 3,Answer,"Unlike quick-fix cleanses, our programs combine medical supervision, personalized nutrition plans, holistic wellness practices, and ongoing support. We focus on sustainable lifestyle changes, not temporary results. Our 94% success rate for maintaining weight loss after 6 months speaks to this approach.","على عكس التنظيفات سريعة الإصلاح، تجمع برامجنا بين الإشراف الطبي وخطط التغذية المخصصة وممارسات الرفاهية الشاملة والدعم المستمر. نركز على تغييرات نمط الحياة المستدامة، وليس النتائج المؤقتة. معدل نجاحنا البالغ 94% في الحفاظ على فقدان الوزن بعد 6 أشهر يتحدث عن هذا النهج.",
FAQ,Question 4,Question,"Will I be hungry during the program?","هل سأشعر بالجوع أثناء البرنامج؟",
FAQ,Question 4,Answer,"No. Our programs are designed to nourish your body with nutrient-dense foods that satisfy you. You'll enjoy delicious, chef-prepared meals throughout the day. Many guests are surprised by how satisfying and gourmet the food is—detox doesn't mean deprivation at TheLifeCo.","لا. تم تصميم برامجنا لتغذية جسمك بأطعمة كثيفة المغذيات تشبعك. ستستمتع بوجبات لذيذة أعدها الشيف طوال اليوم. يفاجأ العديد من الضيوف بمدى إشباع الطعام وفخامته — إزالة السموم لا تعني الحرمان في TheLifeCo.",
FAQ,Question 5,Question,"How long are the programs?","كم مدة البرامج؟",
FAQ,Question 5,Answer,"We offer programs ranging from 7 to 21 days, depending on your goals and schedule. Our wellness consultants can help you choose the ideal program length during your consultation. Many guests start with a 7-14 day program and return for additional sessions.","نقدم برامج تتراوح من 7 إلى 21 يومًا، اعتمادًا على أهدافك وجدولك. يمكن لاستشاريي الرفاهية لدينا مساعدتك في اختيار طول البرنامج المثالي أثناء استشارتك. يبدأ العديد من الضيوف ببرنامج 7-14 يومًا ويعودون لجلسات إضافية.",
FAQ,Question 6,Question,"Can I maintain the results after I leave?","هل يمكنني الحفاظ على النتائج بعد المغادرة؟",
FAQ,Question 6,Answer,"Yes! Sustainability is at the core of our approach. You'll leave with personalized meal plans, lifestyle strategies, and ongoing support resources. Our graduates maintain their results at a rate of 94% after six months, compared to the industry average of 5-20%.","نعم! الاستدامة هي جوهر نهجنا. ستغادر بخطط وجبات مخصصة واستراتيجيات نمط الحياة وموارد دعم مستمرة. يحافظ خريجونا على نتائجهم بمعدل 94% بعد ستة أشهر، مقارنة بمتوسط الصناعة البالغ 5-20%.",
FAQ,Question 7,Question,"Is the program suitable for people with medical conditions?","هل البرنامج مناسب للأشخاص الذين يعانون من حالات طبية؟",
FAQ,Question 7,Answer,"Our programs can be adapted for most health conditions, including diabetes, hypertension, and digestive issues. During your initial consultation, our medical team will review your health history and customize your program accordingly. We recommend consulting with your personal physician before starting any wellness program.","يمكن تكييف برامجنا لمعظم الحالات الصحية، بما في ذلك مرض السكري وارتفاع ضغط الدم ومشاكل الجهاز الهضمي. أثناء استشارتك الأولية، سيراجع فريقنا الطبي تاريخك الصحي ويخصص برنامجك وفقًا لذلك. نوصي بالتشاور مع طبيبك الشخصي قبل البدء في أي برنامج رفاهية.",
FAQ,Question 8,Question,"What's included in the program cost?","ما المدرج في تكلفة البرنامج؟",
FAQ,Question 8,Answer,"Your program includes: medical consultations and monitoring, all meals and detox supplements, accommodation (for residential programs), wellness activities (yoga, meditation, fitness classes), spa treatments, educational workshops, and post-program support materials.","يتضمن برنامجك: الاستشارات والمراقبة الطبية، وجميع الوجبات ومكملات إزالة السموم، والإقامة (للبرامج السكنية)، وأنشطة الرفاهية (اليوجا والتأمل وفصول اللياقة البدنية)، وعلاجات السبا، وورش العمل التعليمية، ومواد دعم ما بعد البرنامج.",
FAQ,Question 9,Question,"Do you offer virtual/remote programs?","هل تقدمون برامج افتراضية/عن بُعد؟",
FAQ,Question 9,Answer,"Yes! We offer both residential programs at our wellness centers and virtual programs that you can complete from home. Virtual programs include video consultations, meal plans and recipes, supplement protocols, guided wellness practices, and daily support from our team.","نعم! نقدم برامج سكنية في مراكز الرفاهية لدينا وبرامج افتراضية يمكنك إكمالها من المنزل. تتضمن البرامج الافتراضية استشارات الفيديو وخطط الوجبات والوصفات وبروتوكولات المكملات وممارسات الرفاهية الموجهة والدعم اليومي من فريقنا.",
FAQ,Still Have Questions,Title,"Still have questions?","لا يزال لديك أسئلة؟",
FAQ,Still Have Questions,Text,"Our wellness consultants are here to help you find the perfect program for your needs","استشاريو الرفاهية لدينا هنا لمساعدتك في العثور على البرنامج المثالي لاحتياجاتك",
FAQ,Still Have Questions,Button,"Schedule a Free Consultation","حدد استشارة مجانية",
Footer,Copyright,Text,"© 2026 TheLifeCo. All rights reserved.","© 2026 TheLifeCo. جميع الحقوق محفوظة.",
Footer,Privacy Link,Text,"Privacy Policy","سياسة الخصوصية",


